esiss_resource_id,Post Type,Title,Content,Slug,Status,Categories,Tags,Reading Box,Year Levels,Genres,Theme,Fiction/Non-fiction,Strategies,Ages,esiss_page_count,esiss_word_count,esiss_strategy,esiss_free_sample,esiss_blurb,esiss_related,esiss_activities,wushka_quiz_id,esiss_hfw,wushka_levels,wushka_comprehension,wushka_text_type,esiss_sounds,esiss_curriculum,Phase ,Tricky Words ,
220006,ebook,Tug Of War,"""Tug of War""can be used to introduce and reinforce the following skills: &bull; forming and supporting opinions &bull; making, confirming, and revising predictions &bull; making inferences &bull; making personal connections with the text. Features of ""Tug of War': &bull; narrative &bull; humor &bull; double meaning of the title ",tug-of-war,publish,eBook,,Ruby (Levels 27-28),e-four,Realistic fiction,Different views|Family|Food|Health,Fiction, Making Predictions|Making Inferences|Questioning,e-8,8,939," Making Predictions, Making Inferences, Questioning",,"When Dad decides to become a vegetarian, his family becomes tired of their new diet. Things change when Dad helps out at the school fair.","200726, 200169","Make a story map showing the main events in the story Research vegetarianism and present their findings to the class 
Have a class debate about the pros and cons of being a vegetarian Create a vegetarian recipe book",645,,27,"Making Predictions, Making Inferences, Questioning",Narrative,,,,,
220015,ebook,Losing Lillie,"""Losing Lillie"" can be used to introduce and reinforce the following skills: &bull; analysing the literary features of texts &bull; making predictions &bull; making personal connections with the textFeatures of the text: &bull; Narrative &bull; Plot, characters, setting, theme &bull; Dialogue",losing-lillie,publish,eBook,,Silver (Levels 23-24),d-three,Realistic fiction,Communication|Family|Friends|Overcoming obstacles|Relationships|Safety,Fiction,Making Predictions| Making Connections| Recognising Cause and Effect,d-7,8,706,"Making Predictions, Making Connections, Recognising Cause and Effect",,"When Lillie goes missing at the mall, her big sister, who was supposed to be taking care of her, panics.","220016, 200506", rewrite the story as a play and perform it to an audience  write a job description for a babysitter of a young child.,653,,24,"Making Predictions, Making Connections, Recognising Cause and Effect",Narrative,,,,,
220016,ebook,Floss and Mo,"""Floss and Mo"" can be used to introduce and reinforce the following skills: &bull; identifying the features of an explanation &bull; drawing conclusions from a text &bull; finding information from a text &bull; using the text as a model for writing. Features of the text: &bull; Explanation &bull; Narrative procedure &bull; Cause and effect &bull; Subheadings &bull; Glossary words ",floss-and-mo,publish,eBook,,Silver (Levels 23-24),d-three,Explanation|Report,Animals birds and insects|Habitats|Responsibility,Non-fiction,Recognising Cause and Effect| Summarising| Making Inferences|Identifying the features of an explanation|Using the text as a model for writing,d-7,4,360,"Recognising Cause and Effect, Summarising, Making Inferences, Identifying the features of an explanation,  Using the text as a model for writing",,"Floss and Mo are rabbits that live in a hutch. Parthiv and Janki are responsible for caring for them. This article
explains how and why they keep pet rabbits.","200507, 200124"," use the Internet or library to find out how to take care of fish in a fish tank  make a model of, or draw, a hutch for rabbits  write a speech about taking care of rabbits and present it to the class",654,,23,"Recognising Cause and Effect, Summarising, Making Inferences",Explanation,,,,,
220017,ebook,A Safe Place,"""A Safe Place"" can be used to introduce and reinforce the following skills: &bullusing prior knowledge and the context and glossary to make meaning  &bullmaking inferences  &bullvisualising to make meaning  &bullforming explanations Features of the text: &bullReport  &bullSpecialised vocabulary  &bullDescription  &bullGlossary words",a-safe-place,publish,eBook,,Sapphire (Levels 29-30),f-five,Report,Animals birds and insects|Changing earth|Environment|Habitats|Life science|Plants,Non-fiction,Making Inferences|Making Connections|Visualising|Recognising Cause and Effect,f-9,6,568,"Making Inferences, Making Connections, Visualising, Recognising Cause and Effect",,This report describes a city wildlife sanctuary and explains why and how it was established.,"200491, 200259","make a list of the positive things about sanctuaries  research native plants or animals from their area  if possible, visit a sanctuary  collect drawings and photos of introduced and native plants and animals and present them to theclass  write a procedural text about creating a city wildlife sanctuary.",655,,30,"Making Inferences, Making Connections, Visualising, Recognising Cause and Effect",Report|Report,,,,,
220018,ebook,The Oak Tree Kids,"""The Oak Tree Kids"" can be used to introduce and reinforce the following skills: &bullexploring plot development &bullidentifying emotive and persuasive language &bullmaking, confirming and revising predictions &bullusing prior knowledge Features of the text: &bullNarrative &bullDialogue &bullPlot development &bullEnvironmental theme",oak-tree-kids,publish,eBook,,Sapphire (Levels 29-30),f-five,Realistic fiction,Challenge|Conflict|Different views|Environment|Friends|Neighbourhood|Overcoming obstacles,Fiction,Making Predictions|Questioning|Recognising Bias and Prejudice|Sequencing,f-9,8,883,"Making Predictions, Questioning, Recognising Bias and Prejudice, Sequencing",,Terri and some of the local kids protest when they discover that the council is going to cut down the tree that has their tree house in it.,"200171, 200414",read the dialogue aloud with expression to convey the moods of the characters  write a newspaper article explaining the events in the story  list ways you can help to protect the environment of your neighbourhood and display your ideas on a poster.,656,,29,"Making Predictions, Questioning, Recognising Bias and Prejudice, Sequencing",Narrative,,,,,
220005,ebook,A Balanced Diet,"""A Balanced Diet"" can be used to introduce and reinforce the following skills: &bull; identifying the features of an explanation &bull; making personal connections with the text &bull; exploring the use of style features in nonfiction &bull; identifying the author's purpose. Features of the text:&bull; explanation &bull; cause and effect &bull; diagrams and illustrations &bull; use of style features - quotation marks, italics, parentheses",a-balanced-diet,publish,eBook,,Ruby (Levels 27-28),e-four,Explanation,Daily routines|Health|Responsibility,Non-fiction,Identifying Author's Purpose|Identifying Features of an Explanation|Making connections,e-8,6,754,"Making Connections, Finding Main Ideas, Recognising Cause and Effect,  Identifying Author's Purpose, Identifying Features of an Explanation",,This article explains the importance of knowing about the food we eat and how it affects our bodies.,"200473, 200261",Keep a journal of your food intake for a week Identify the food groups that you need to eat more or less of Using the information in the article explain how this will affect your energy levels or health,643,,27,"Making Connections, Finding Main Ideas, Recognising Cause and Effect,  Identifying Author's Purpose, Identifying Features of an Explanation",Explanation,,,,,
220007,ebook,Making It Last,"""Making It Last"" can be used to introduce and reinforce the following skills: &bull; exploring strategies to understand specialised vocabulary &bull; analysing the language of procedural text &bull; asking questions to deepen understanding of a specialised subject &bull; synthesising information from text and visual sources. Features of the text: &bull; explanation with procedural text &bull; text organisers such as numbered lists and bullet points &bull; labelled diagrams &bull; specialised vocabulary",making-it-last,publish,eBook,,Bronze (Levels 31),g-six,Explanation|Interview|Procedure,Careers|Change over time|Discovery|History,Non-fiction,Recognising Cause and Effect|Sequencing|Visualising,g-10,6,750,"Sequencing, Recognising cause and effect, Visualising, Questioning",,This text explores how museums conserve objects.,"200194, 200485","  Make a flowchart showing the steps of conserving an old photograph  Conduct research about the most valuable pieces in their local museum  Write a job description for a museum conservator
",644,,31,"Sequencing, Recognising cause and effect, Visualising, Questioning",Explanation,,,,,
220008,ebook,Saving The Pink Lady's Slipper,"""Saving the Pink Lady's Slipper"" can be used to introduce and reinforce the following skills: &bull; analysing the use of multiple text forms to tell a story &bull; determining the author's purpose &bull; forming and justifying opinions about characters' actions.  Features of the text: &bull; narrative &bull; persuasive text &bull; newspaper report &bull; environmental and problem-solving themes &bull; factual information in a fictional text",saving-pink-ladys-slipper,publish,eBook,,Bronze (Levels 31),g-six,General narrative,Environment|Plants|Problem solving|School and community|The media,Fiction,Making connections|Making inferences,g-10,8,1106,"Making Connections, Finding Main Ideas, Making Inferences",,A group of children convince a company to champion an environmental cause.,"200755, 200193","Research the Pink Lady's Slipper orchid to verify the facts in the story  Write some dialogue that shows the characters' personalities  Write a letter persuading a company to support a cause they believe in
",642,,31,"Making Connections, Finding Main Ideas, Making Inferences",Narrative,,,,,
220009,ebook,From Grower to Seller,"""From Grower to Seller"" can be used to introduce and reinforce the following skills: &bull; making inferences; &bull; using the text as a model for writing; &bull; sequencing information; &bull; identifying the organisation and layout of information.Features of the text: &bull; log of events &bull; dates and times &bull; photographs and maps &bull; procedural text &bull; footnote",from-grower-to-seller,publish,eBook,,Sapphire (Levels 29-30),f-five,Explanation|Interview|Procedure,Careers|Journeys|Transportation,Non-fiction,Making inferences|Sequencing,f-9,6,482,"Making Inferences, Sequencing",,This article describes the journey that takes place when peony flowers are transported from New Zealand to New York.,"200172, 200240","Trace the flowers' journey on a world map, showing the times and distances Construct a flow chart showing this process",649,,30,"Making Inferences, Sequencing",Procedure,,,,,
220010,ebook,Lost Wheels,"""Lost Wheels"" can be used to introduce and reinforce the following skills: &bull; identifying the main idea of a text &bull; making inferences &bull; identifying plot and character development &bull; using the text as a model for writingFeatures of the text: &bull; narrative &bull; mystery &bull; plot, characters, setting, theme",lost-wheels,publish,eBook,,Silver (Levels 23-24),d-three,Realistic fiction,Challenge|Communication|Humour|Problem solving,Fiction,Finding Main Ideas|Making inferences|Making predictions|Sequencing,d-7,8,830,"Finding Main Ideas, Making Inferences, Sequencing, Making Predictions",,"When Sam recovers from an illness, he discovers that his skateboard is missing and that strange things have been happening in his house.","200508, 200393",Plan and write your own narrative in the style of 'Lost Wheels'  Make a diagram to show the chain of events in the story,648,,23,"Finding Main Ideas, Making Inferences, Sequencing, Making Predictions",Narrative,,,,,
220012,ebook,The Solar Sail,"""The Solar Sail"" can be used to introduce and reinforce the following skills: &bull; analysing the features of science fiction writing &bull; making, confirming and revising predictions &bull; discussing the author's style &bull; restating information from the text. Features of the text: &bull; science fiction &bull; orientation, problem, climax, resolution, conclusion &bull; third-person narrative &bull; theme of problem solving and lateral thinking",the-solar-sail,publish,eBook,,Sapphire (Levels 29-30),f-five,Science fiction,Adventure|Challenge|Journeys|Problem solving|Transportation,Fiction,Finding Main Ideas|Making predictions,f-9,80,997,"Making Predictions, Finding Main Ideas, Sequencing",,"Keifer is on board a spaceship carrying titanium plastic from factories on the moon to Earth. With a meteor strike just two hours away, Keifer has to think quickly to save the ship and crew from disaster.","200730, 200423","Make a story map to identify the steps in the story Write a letter from Keifer to her father, explaining the events and the thoughts going through her mind Use the text to write a procedural text for fixing the sails.",646,,29,"Making Predictions, Finding Main Ideas, Sequencing",Science fiction,,,,,
